,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,id
59,ambient folk,0.6397355223285486,0.5281497707336522,231744.4121810207,0.3771438995215311,0.1413824254176634,0.1660901814194577,-12.248761014752793,0.0628263556618819,116.65229839513556,0.3247242822966507,42.21999601275917,7,1,59
60,ambient house,0.040625,0.6265,255585.5,0.842125,0.1383,0.349,-12.244375,0.0468625,113.2315,0.46875,38.625,8,1,60
61,ambient idm,0.4775,0.3505,364264.0,0.5794999999999999,0.46250715,0.1205,-10.509999999999998,0.0574999999999999,150.49150000000003,0.2385,55.0,8,1,61
62,ambient pop,0.7401253333333333,0.32154,228714.02666666667,0.2536199999999999,0.7206852000000001,0.1093666666666666,-16.705946666666666,0.0357106666666666,95.59444666666668,0.181174,42.56,7,1,62
63,ambient techno,0.09042825,0.7055,349358.5,0.549875,0.475425,0.08455,-13.989250000000002,0.0329,125.71425,0.8410625,35.25,1,0,63
64,ambient worship,0.6735011951754385,0.2997435855263157,264410.99150219304,0.2995446162280701,0.4556968309210527,0.1307433662280702,-15.148772478070176,0.0363167763157894,101.70345586622808,0.1552987938596491,58.10745614035088,3,1,64
65,american choir,0.8622114845938375,0.2875906162464986,334064.9019607843,0.2713939775910364,0.2589585371848739,0.1682329131652661,-17.483796918767506,0.1137689075630252,112.44833473389356,0.2005449579831933,26.626050420168067,7,1,65
66,american contemporary classical,0.9456131281544876,0.3529118517299393,387152.5840245775,0.1318874028966425,0.4841471521493306,0.1452343881208397,-24.171506612537488,0.0521853999341672,95.78631603211174,0.2841487967229902,25.990737692926636,9,1,66
67,american folk revival,0.8200007704284784,0.5507778759847902,174700.88090746754,0.2584791142842095,0.027979392294609,0.1572392037843003,-15.296833245914325,0.0780357996280912,113.7927159079157,0.5559292111097373,18.758766098352947,9,1,67
68,american metalcore,0.0032467333333333,0.389,238115.66666666663,0.971,0.0003463333333333,0.2109,-4.268000000000002,0.2543333333333333,159.29599999999996,0.2513333333333333,42.66666666666666,9,0,68
69,american modern classical,0.8992420261982055,0.3877776624034499,279470.4589881093,0.2543608764462391,0.4752136292753767,0.2193437052569413,-17.788385917842195,0.1282766943233506,118.99643588668478,0.3770526961020346,7.265186202015205,5,1,69
70,american post-rock,0.3078385032051282,0.4578766025641026,303835.3253205128,0.469561858974359,0.6759826730769231,0.1543341346153846,-12.839429487179489,0.0433647435897435,112.13089262820512,0.2337094551282051,47.58333333333334,1,1,70
71,american primitive,0.5110423333333333,0.3845666666666667,191793.61666666664,0.4262833333333333,0.8224166666666666,0.1359716666666666,-13.8341,0.0404,111.02668333333334,0.4926983333333334,23.700000000000003,11,1,71
72,american romanticism,0.9475293209876542,0.3123385802469136,227850.50925925924,0.1740751543209877,0.4025654717283951,0.1472907407407407,-19.99763271604938,0.0420850308641975,108.02207253086418,0.275941049382716,10.419753086419751,11,1,72
73,american shoegaze,0.1938794133333333,0.3298666666666666,324887.6,0.7308666666666667,0.5653333333333334,0.1876,-9.429466666666666,0.0429466666666666,113.68093333333334,0.3548666666666667,41.8,6,1,73
74,anadolu rock,0.5618,0.4748,266333.8,0.445,0.204252,0.16428,-14.736,0.03542,97.91400000000002,0.613,44.8,7,0,74
75,anarcho-punk,0.0530541757282913,0.3159488795518207,197361.25,0.8747850140056022,0.0092993727240896,0.2653179271708684,-8.071685574229692,0.1251230392156862,163.65386064425772,0.5005406162464986,39.41106442577031,2,1,75
76,andean,0.5888953959183674,0.6033333333333334,286867.6462585034,0.4613877551020408,0.2761979904761905,0.1324115646258503,-11.88374149659864,0.058034693877551,122.09365986394558,0.4649863945578231,32.775510204081634,4,1,76
77,anglican liturgy,0.9210166666666668,0.2345566666666666,209452.85,0.1751266666666667,0.2645636666666666,0.2056866666666667,-16.995116666666668,0.0586833333333333,87.85156666666667,0.265455,10.283333333333331,0,1,77
78,animal singing,0.8059999999999999,0.7990000000000002,126286.5,0.6395,0.0,0.1935,-5.9875000000000025,0.04235,114.6885,0.9025,4.5,3,1,78
79,anime,0.1556472805206993,0.5031195865508366,241442.81091537967,0.7938807432432432,0.1258899559159159,0.173699527027027,-5.562658783783783,0.0669684781209781,137.2889699002574,0.4694657322501073,51.93203292578293,1,1,79
80,anime latino,0.1902247728571428,0.4795714285714286,244156.57142857145,0.8882857142857142,0.0033816457142857,0.2852071428571429,-3.2310000000000003,0.0551,142.30892857142857,0.5502142857142858,55.142857142857146,0,1,80
81,anime rock,0.0695620966386554,0.5110385154061624,239654.00910364147,0.8647598039215686,0.0310600944117647,0.2363147058823529,-4.058578431372549,0.0813126050420168,126.97481582633053,0.5441645658263307,58.037114845938376,11,1,81
82,anime score,0.2881269422817977,0.4730753853398853,213411.699765561,0.6984475021498772,0.3542716276550368,0.1942009307944307,-8.7031703490991,0.0744079425675675,124.2231064711302,0.415548236076986,51.45574836199836,7,1,82
83,ann arbor indie,0.2496058333333333,0.5518833333333333,216116.4,0.4596833333333334,0.0576560023333333,0.1334733333333333,-8.58315,0.0717216666666666,93.36946666666664,0.3598166666666666,51.96666666666668,6,1,83
84,anthem emo,0.0935799846666666,0.4831655555555557,206006.96166666664,0.7663949999999999,0.0137899598611111,0.2116563333333333,-5.795172777777777,0.0734493333333333,130.29724222222222,0.4252877777777778,50.64,4,1,84
